shortcode,url,type,taken_at,timestamp,views,likes,comments,duration,caption,thumbnail
DYztJS-vtNX,https://www.instagram.com/reel/DYztJS-vtNX/,clips,2026-05-26T16:08:14.000Z,1779811694,,136,57,,"Se você é bonita, então grave conteúdo desse jeito pra viralizar",https://instagram.ffor25-1.fna.fbcdn.net/v/t51.82787-15/707693967_18353414314240868_5122027584336249500_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzkwNTY2Mzg1MjgwODY4ODQ3MTE4MzUzNDE0MzA4MjQwODY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=DQgNYxnwr-kQ7kNvwEeFEDw&_nc_oc=Adp9Zm2Mqr4jZ8TfM0Kc4vsPLv2Q5DHZYyLqiO0ooBkWNMezK3wxEGdT7dNIf9TSZRptdw2uY8K1WYBbqkMhkTxf&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af4dx8x5LsfD7cnp8yjEEV6RsQIUQPeDhSCjq7VBpw_rRA&oe=6A1D7390
DYzl6xdBwbe,https://www.instagram.com/reel/DYzl6xdBwbe/,clips,2026-05-26T15:00:08.000Z,1779807608,,64,4,,Eu quer ver o que acontece se eu não desistir,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/705212275_1529756595165450_4067943537046072308_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=MzkwNTYzMjA2ODQxMTI2MjY4Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=7ZskZ7d2LJcQ7kNvwGYChJl&_nc_oc=AdqnA2YZjO_iZhVmJtb222GIin32RTa-0tnAF3bcJgk39vuOjLISqa5iy2r_PCPxFAv8qjQ9noAFOxtKhpKnCI5l&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af5cBGj3-oukWa6yjnSGiwI3GkaPnCtMqCRy6vbSktLCaQ&oe=6A1D767D
DYzfEEYBMjO,https://www.instagram.com/reel/DYzfEEYBMjO/,clips,2026-05-26T14:00:18.000Z,1779804018,,85,3,,"Aprendam maridos… quem não planta, não colhe 😏",https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/708333618_2407806969729429_1560421174246085396_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzkwNTYwMTkyMDg3ODAzNzE5OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=hEDwQW6Oi8AQ7kNvwEZHqOy&_nc_oc=AdqxrpZMS89GeT0Cuphna5bdhJeuzPbPnFcxXhDkQh6zf4ggk4LzX6m9V2td-kWblynoK2moqkseQ1_8HLDLsq49&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af7fTx5b1mYRK2OUY2QQ-VWgzxiRx3zT_4DFjIeev_JV9g&oe=6A1D8138
DYzaX8GPFgv,https://www.instagram.com/reel/DYzaX8GPFgv/,clips,2026-05-26T13:20:19.000Z,1779801619,,626,52,,Bati 400 mil seguidores depois que aprendi esse jeito de viralizar os conteúdos,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/708528311_1018856314162055_1812297528779079281_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=MzkwNTU4MTI5NjE0NjczMzEwMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=A-GIhbmuiHsQ7kNvwHmnvJK&_nc_oc=AdqigtA1Cgqs556xVQVruiL7Irk9-aLC4zeh6bjAkQgTAvDnIe2c65y612rSMrct_dHz4c5r6xFlDYt031Fzde65&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af51ut9iWLTAiASVQbaRIex5LsKrxpHYN1sRDCnjhDJR9A&oe=6A1D7D4B
DYzYIwOBDt1,https://www.instagram.com/reel/DYzYIwOBDt1/,clips,2026-05-26T13:00:21.000Z,1779800421,,11,1,,Esse conteúdo com a @hotmart ficou lindo demais. Peguei duas pessoas pra analisar a estratégia inteira do perfil,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/708813742_755333870935340_975641464400215155_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=MzkwNTU3MTQ1NjUwNzE5ODMyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=itK9DLeQzi0Q7kNvwHSEZC8&_nc_oc=AdqcYPGEzb9e5jgmj5OV_p-EUZ1nl22YR03DydHPYhe_8sfBoPVXJppWN69LIo4jgrtgza8QEsFKMz_l9CPcJciK&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af7wolFx2-MeaRwVwzu-w4cAeOaTA2GxIk5DnDEFIbWbHg&oe=6A1D61C1
DYzRPLNBVRD,https://www.instagram.com/reel/DYzRPLNBVRD/,clips,2026-05-26T12:00:45.000Z,1779796845,,58,3,,Essa aqui só o crente raiz vai lembrar,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/706971228_1024120396946512_304178130834726786_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkwNTU0MTExMTQ3MjgwNDkzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=YUQLiLHNvFcQ7kNvwGumWh_&_nc_oc=Adr4CplQoto5K2JvzFbb867mTAY7VX-5alIBfQYXpJQ58HC_G26MSw7GvC1JG0sZl6phU2zoehFvgi9Xv5GaLK_x&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af6GrxOzy93g2JN9MJY6x_A1goG8pO2jEv2jbG4U6Qy3qg&oe=6A1D601D
DYzLk-APqJt,https://www.instagram.com/reel/DYzLk-APqJt/,clips,2026-05-26T11:11:10.000Z,1779793870,,94,7,,Como a gente tá depois de 1 semana de evento 🤣,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/705031227_986222323813852_284149098216633306_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzkwNTUxNjIyMDg0OTIzNDU0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=0jUM-7U5wLcQ7kNvwHp_aBv&_nc_oc=AdqEX45P3mE9R0EBg_JfiCo7TKrQRKXq7dQEAsEa4Ix_f041GOTumUd2FcZfXAFhk264jeXK9BzrNTsgW6F3tjzS&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af6FcOkNfAEsRllhouoBA_zsqRIk7kBXsc8Z4_OZUd7gfg&oe=6A1D74E5
DYw8-NIPPNS,https://www.instagram.com/reel/DYw8-NIPPNS/,clips,2026-05-25T14:25:03.000Z,1779719103,,42,2,,Bora estruturar mais uma time de marketing e performance de uma empresa de 7 dígitos,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/705527446_2018223768796053_5858977712555325761_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNDg4OTAzNDQyNTI5OTc5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=IPpDYMh86JkQ7kNvwG5rgYi&_nc_oc=AdrFMUPVL2LCJCFCCrhxCCupksl6H_EobLdvuTWC1R_OfpHJ4IX2b-lMPYmcOF8ARtmHG4KPp9XMHFlCGVmH9i7S&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af6WLgjdP12v-IiapPiNcSIKVjmH9YrDstXCq8RRQitFDg&oe=6A1D9454
DYuVcGHDnVC,https://www.instagram.com/reel/DYuVcGHDnVC/,clips,2026-05-24T14:01:12.000Z,1779631272,,76,44,,"Você produz conteúdo, mas seu Instagram não converte em vendas?⁣ ⁣ Às vezes o problema está no posicionamento. Outras vezes, no jeito de comunicar valor. E, em alguns casos, o perfil inteiro transmite uma mensagem diferente da que o especialista quer vender. ⁣ ⁣ No Siga o Plano, nova série da Hotmart no YouTube, creators e infoprodutores têm seus perfis analisados e revisam pontos como posicionamento, conteúdo, autoridade digital, narrativa e potencial de venda. Nos primeiros episódios, você vai acompanhar as análises feitas por Bárbara Bruna (@babruna), Micha Menezes (@michamenezes) e Rafa Brito (@rafabri7o).⁣ ⁣ Sem fórmulas mágicas. Aqui, você aprende na prática que crescer no Instagram não depende de adivinhação, mas de estratégia, clareza e diagnóstico certeiro.⁣  👉 Pode anotar: na próxima terça-feira, dia 26/05, você confere a estreia do Siga o Plano. ⁣ E aí, qual tem sido a sua maior dificuldade no seu perfil de infoprodutor hoje?⁣ ⁣ #Hotmart",https://instagram.ffor25-1.fna.fbcdn.net/v/t51.82787-15/706850946_18583461598021503_1515710966076371484_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkwNDE1MjIxNjY1OTcxOTQ5MDE4NTgzNDYxNTk1MDIxNTAz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=aKXzbD0uWc0Q7kNvwEj6JOy&_nc_oc=AdrbbEy5D3cn6K3srA1sbU2d4gTEqKUh1NtpcYdkybtuo5VX-ZM_Cixbko2tyn2J4UNex7Mkeeh7yIlxfEdTNAq7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af7k01ne4tyvqVDptf2Q7F0bMRx-d7c8UD-lC2RIEe0hmw&oe=6A1D6909
DYsshjcPQVZ,https://www.instagram.com/reel/DYsshjcPQVZ/,clips,2026-05-23T22:45:47.000Z,1779576347,,173,13,,"Depois de 4 palestras em 6 dias em São Paulo. Hora de voltar pra casa, acordar cedo porque amanhã tenho que tocar nos 3 cultos, e nem deu tempo de passar as músicas ainda 🤣🤣",https://instagram.ffor25-1.fna.fbcdn.net/v/t51.82787-15/705229206_18353025859240868_2343631719089083198_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzkwMzY5MDc5Njg2NzMyMzIyNTE4MzUzMDI1ODU2MjQwODY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEzMjAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=BPqkcpWb9IEQ7kNvwGRBLVJ&_nc_oc=Adqf1tZeyYRYwOYDd3GkzpFw6kLvpWtxgpWgTJq3lR4K2qANyNllPeiRHVppUsB8msOT0pLwkXHRCc7S0Cf5fphO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=_pQWhNhoDgO0wVT4LMrRew&_nc_ss=7a22e&oh=00_Af4zyaHwuSTGVT65C1eId-8sGktbO5ILzDbJynZ_kAwufg&oe=6A1D85DC
